Player,Span,Start_Year,End_Year,Career_Length,Mat,Inns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Wickets_Per_Match,Economy_Score,Bowling_Impact_Score,Five_Wicket_Rate
M Muralitharan (Asia/ICC/SL),1993-2011,1993,2011,18,350,341,18811,12326,534,Jul-30,23.08,3.93,35.2,15,10,1.53,0.25,1.14,0.029
Wasim Akram (PAK),1984-2003,1984,2003,19,356,351,18186,11812,502,May-15,23.52,3.89,36.2,17,6,1.41,0.26,1.06,0.017
Waqar Younis (PAK),1989-2003,1989,2003,14,262,258,12698,9919,416,Jul-36,23.84,4.68,30.5,14,13,1.59,0.21,1.18,0.050
WPUJC Vaas (Asia/SL),1994-2008,1994,2008,14,322,320,15775,11014,400,Aug-19,27.53,4.18,39.4,9,4,1.24,0.24,0.94,0.012
Shahid Afridi (Asia/ICC/PAK),1996-2015,1996,2015,19,398,372,17670,13632,395,07-Dec,34.51,4.62,44.7,4,9,0.99,0.22,0.76,0.023
SM Pollock (Afr/ICC/SA),1996-2008,1996,2008,12,303,297,15712,9631,393,Jun-35,24.5,3.67,39.9,12,5,1.30,0.27,0.99,0.017
GD McGrath (AUS/ICC),1993-2007,1993,2007,14,250,248,12970,8391,381,Jul-15,22.02,3.88,34,9,7,1.52,0.26,1.14,0.028
B Lee (AUS),2000-2012,2000,2012,12,221,217,11185,8877,380,May-22,23.36,4.76,29.4,14,9,1.72,0.21,1.27,0.041
SL Malinga (SL),2004-2019,2004,2019,15,226,220,10936,9760,338,Jun-38,28.87,5.35,32.3,11,8,1.50,0.19,1.10,0.035
A Kumble (Asia/INDIA),1990-2007,1990,2007,17,271,265,14496,10412,337,06-Dec,30.89,4.3,43,8,2,1.24,0.23,0.94,0.007
ST Jayasuriya (Asia/SL),1989-2011,1989,2011,22,445,368,14874,11871,323,Jun-29,36.75,4.78,46,8,4,0.73,0.21,0.57,0.009
J Srinath (INDIA),1991-2003,1991,2003,12,229,227,11935,8847,315,May-23,28.08,4.44,37.8,7,3,1.38,0.23,1.03,0.013
DL Vettori (ICC/NZ),1997-2015,1997,2015,18,295,277,14060,9674,305,05-Jul,31.71,4.12,46,8,2,1.03,0.24,0.80,0.007
SK Warne (AUS/ICC),1993-2005,1993,2005,12,194,191,10642,7541,293,May-33,25.73,4.25,36.3,12,1,1.51,0.24,1.13,0.005
