Player,Span,Start_ Year,End_Year,Career_Length,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Wickets_Per_Match,Economy_Score,Bowling_Impact_Score,Five_Wicket_Rate
SL Malinga (SL),2006-2019,2006,2019,13,79,79,284.5,1,2061,106,05-Jun,19.44,7.23,16.1,1,2,1.34,0.14,0.98,0.025
Shahid Afridi (ICC/PAK),2006-2018,2006,2018,12,99,97,361.2,4,2396,98,04-Nov,24.44,6.63,22.1,3,0,0.99,0.15,0.74,0.000
Shakib Al Hasan (BDESH),2006-2019,2006,2019,13,76,75,277.5,2,1894,92,May-20,20.58,6.81,18.1,3,1,1.21,0.15,0.89,0.013
Saeed Ajmal (PAK),2009-2015,2009,2015,6,64,63,238.2,2,1516,85,Apr-19,17.83,6.36,16.8,4,0,1.33,0.16,0.98,0.000
Umar Gul (PAK),2007-2016,2007,2016,9,60,60,200.3,2,1443,85,05-Jun,16.97,7.19,14.1,4,2,1.42,0.14,1.03,0.033
Rashid Khan (AFG/ICC),2015-2019,2015,2019,4,45,45,171,1,1052,84,05-Mar,12.52,6.15,12.2,3,2,1.87,0.16,1.36,0.044
GH Dockrell (IRE),2010-2019,2010,2019,9,73,69,221.2,1,1539,75,Apr-20,20.52,6.95,17.7,1,0,1.03,0.14,0.76,0.000
TG Southee (NZ),2008-2019,2008,2019,11,66,64,233.3,2,1954,75,May-18,26.05,8.36,18.6,0,1,1.14,0.12,0.83,0.015
Mohammad Nabi (AFG),2010-2019,2010,2019,9,75,75,256.4,5,1839,69,04-Oct,26.65,7.16,22.3,3,0,0.92,0.14,0.69,0.000
KMDN Kulasekara (SL),2008-2017,2008,2017,9,58,58,205.1,6,1530,66,Apr-31,23.18,7.45,18.6,2,0,1.14,0.13,0.84,0.000
BAW Mendis (SL),2008-2014,2008,2014,6,39,39,147.3,5,952,66,06-Aug,14.42,6.45,13.4,3,2,1.69,0.16,1.23,0.051
SCJ Broad (ENG),2006-2014,2006,2014,8,56,55,195.3,2,1491,65,Apr-24,22.93,7.62,18,1,0,1.16,0.13,0.85,0.000
Imran Tahir (SA/World),2013-2019,2013,2019,6,38,38,140.5,0,948,63,May-23,15.04,6.73,13.4,2,2,1.66,0.15,1.21,0.053
DW Steyn (SA),2007-2019,2007,2019,12,44,44,157.1,3,1068,61,04-Sep,17.5,6.79,15.4,2,0,1.39,0.15,1.01,0.000
Mohammad Amir (PAK),2009-2019,2009,2019,10,48,48,175.4,5,1224,59,Apr-13,20.74,6.96,17.8,1,0,1.23,0.14,0.90,0.000
NL McCullum (NZ),2007-2016,2007,2016,9,63,59,187.1,0,1278,58,Apr-16,22.03,6.82,19.3,2,0,0.92,0.15,0.69,0.000
KJ O'Brien (IRE),2008-2019,2008,2019,11,90,51,150.3,0,1134,58,Apr-45,19.55,7.53,15.5,1,0,0.64,0.13,0.49,0.000
S Badree (WI/World),2012-2018,2012,2018,6,52,52,191,4,1180,56,Apr-15,21.07,6.17,20.4,1,0,1.08,0.16,0.80,0.000
CJ Jordan (ENG),2014-2019,2014,2019,5,43,43,151.3,0,1300,54,04-Jun,24.07,8.58,16.8,2,0,1.26,0.12,0.91,0.000
Mohammad Hafeez (PAK),2006-2018,2006,2018,12,89,67,186.1,2,1226,54,04-Oct,22.7,6.58,20.6,1,0,0.61,0.15,0.47,0.000
Sohail Tanvir (PAK),2007-2017,2007,2017,10,57,57,202.2,3,1454,54,03-Dec,26.92,7.18,22.4,0,0,0.95,0.14,0.70,0.000
RE van der Merwe (NL/SA),2009-2019,2009,2019,10,43,42,149.1,1,938,54,Apr-35,17.37,6.28,16.5,1,0,1.26,0.16,0.93,0.000
WB Rankin (ENG/IRE),2009-2019,2009,2019,10,48,47,170,2,1138,53,Mar-16,21.47,6.69,19.2,0,0,1.10,0.15,0.82,0.000
PM Seelaar (NL),2008-2019,2008,2019,11,69,58,172.3,3,1190,53,Apr-19,22.45,6.89,19.5,1,0,0.77,0.15,0.58,0.000
R Ashwin (INDIA),2010-2017,2010,2017,7,46,46,171,2,1193,52,04-Aug,22.94,6.97,19.7,2,0,1.13,0.14,0.83,0.000
DJ Bravo (WI),2006-2016,2006,2016,10,66,56,173.4,0,1470,52,Apr-28,28.26,8.46,20,2,0,0.79,0.12,0.59,0.000
YS Chahal (INDIA),2016-2019,2016,2019,3,36,36,140.3,1,1139,52,Jun-25,21.9,8.1,16.2,2,1,1.44,0.12,1.05,0.028
Mustafizur Rahman (BDESH),2015-2019,2015,2019,4,37,37,135.1,3,1065,52,May-22,20.48,7.87,15.5,1,1,1.41,0.13,1.02,0.027
SP Narine (WI),2012-2019,2012,2019,7,51,49,183.4,1,1105,52,04-Dec,21.25,6.01,21.1,1,0,1.02,0.17,0.76,0.000
JJ Bumrah (INDIA),2016-2019,2016,2019,3,42,42,153.1,5,1029,51,03-Nov,20.17,6.71,18,0,0,1.21,0.15,0.89,0.000
NLTC Perera (ICC/SL/World),2010-2019,2010,2019,9,79,64,175.4,1,1628,51,Mar-24,31.92,9.26,20.6,0,0,0.65,0.11,0.48,0.000
GP Swann (ENG),2008-2012,2008,2012,4,39,38,135,4,859,51,Mar-13,16.84,6.36,15.8,0,0,1.31,0.16,0.96,0.000
MJ Santner (NZ),2015-2019,2015,2019,4,39,38,128.5,1,928,49,04-Nov,18.93,7.2,15.7,1,0,1.26,0.14,0.92,0.000
SM Sharif (SCOT),2012-2019,2012,2019,7,42,41,143.5,0,1185,49,Apr-24,24.18,8.23,17.6,1,0,1.17,0.12,0.85,0.000
SR Watson (AUS),2006-2016,2006,2016,10,58,49,155,2,1187,48,Apr-15,24.72,7.65,19.3,1,0,0.83,0.13,0.62,0.000
M Morkel (SA/World),2007-2017,2007,2017,10,44,44,158.4,3,1191,47,Apr-17,25.34,7.5,20.2,2,0,1.07,0.13,0.79,0.000
IS Sodhi (NZ),2014-2019,2014,2019,5,40,39,138.3,0,1131,47,Mar-18,24.06,8.16,17.6,0,0,1.18,0.12,0.86,0.000
PA van Meekeren (NL),2013-2019,2013,2019,6,41,39,136.1,2,945,47,04-Nov,20.1,6.94,17.3,2,0,1.15,0.14,0.85,0.000
Shadab Khan (PAK),2017-2019,2017,2019,2,38,36,135.3,1,948,46,Apr-14,20.6,6.99,17.6,1,0,1.21,0.14,0.89,0.000
Bilal Khan (OMAN),2015-2019,2015,2019,4,32,31,111,2,778,45,Apr-19,17.28,7,14.8,3,0,1.41,0.14,1.03,0.000
MRJ Watt (SCOT),2015-2019,2015,2019,4,35,33,125,2,903,45,May-27,20.06,7.22,16.6,0,1,1.29,0.14,0.94,0.029
Abdur Razzak (BDESH),2006-2014,2006,2014,8,34,33,121.4,4,838,44,Apr-16,19.04,6.88,16.5,1,0,1.29,0.15,0.95,0.000
Ahsan Malik (NL),2012-2017,2012,2017,5,31,29,95.5,1,730,44,May-19,16.59,7.61,13,1,1,1.42,0.13,1.03,0.032
DJG Sammy (WI/World),2007-2017,2007,2017,10,68,59,152.4,0,1116,44,May-26,25.36,7.31,20.8,1,1,0.65,0.14,0.49,0.015
Mudassar Bukhari (NL),2008-2016,2008,2016,8,38,35,117.2,4,780,43,04-Jul,18.13,6.64,16.3,3,0,1.13,0.15,0.84,0.000
KD Mills (NZ),2005-2014,2005,2014,9,42,42,149.3,1,1228,43,Mar-26,28.55,8.21,20.8,0,0,1.02,0.12,0.75,0.000
Imad Wasim (PAK),2015-2019,2015,2019,4,41,40,147,3,877,42,May-14,20.88,5.96,21,1,1,1.02,0.17,0.77,0.024
Mashrafe Mortaza (BDESH),2006-2017,2006,2017,11,54,53,189.5,1,1527,42,Apr-19,36.35,8.04,27.1,1,0,0.78,0.12,0.58,0.000
B Kumar (INDIA),2012-2019,2012,2019,7,43,43,154.2,2,1088,41,May-24,26.53,7.04,22.5,0,1,0.95,0.14,0.71,0.023
WD Parnell (SA),2009-2017,2009,2017,8,40,39,124.5,3,1038,41,Apr-13,25.31,8.31,18.2,1,0,1.03,0.12,0.75,0.000
KOK Williams (WI),2016-2019,2016,2019,3,24,24,86.5,2,724,41,Apr-28,17.65,8.33,12.7,1,0,1.71,0.12,1.23,0.000
