Player,Span,Start_Year,End_Year,Career_Length,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,Catches_Per_Match,Dismissals_Per_Match,Stumping_Rate
KC Sangakkara (Asia/ICC/SL),2000-2015,2000,2015,15,404,397,501,402,99,383,19,5 (4ct 1st),1.261,1.00,1.24,0.25
AC Gilchrist (AUS/ICC),1996-2008,1996,2008,12,287,286,472,417,55,417,0,6 (6ct 0st),1.65,1.45,1.64,0.19
MS Dhoni (Asia/INDIA),2004-2019,2004,2019,15,350,345,444,321,123,321,0,6 (5ct 1st),1.286,0.92,1.27,0.35
MV Boucher (Afr/SA),1998-2011,1998,2011,13,295,291,425,403,22,402,1,6 (6ct 0st),1.46,1.37,1.44,0.07
Moin Khan (PAK),1990-2004,1990,2004,14,219,217,287,214,73,214,0,5 (5ct 0st),1.3219999999999998,0.98,1.31,0.33
BB McCullum (NZ),2002-2016,2002,2016,14,260,257,277,262,15,227,35,5 (5ct 0st),1.077,1.01,1.07,0.06
IA Healy (AUS),1988-1997,1988,1997,9,168,168,233,194,39,194,0,4 (4ct 0st),1.386,1.15,1.39,0.23
Mushfiqur Rahim (BDESH),2006-2019,2006,2019,13,216,215,225,181,44,179,2,5 (5ct 0st),1.046,0.84,1.04,0.20
Rashid Latif (PAK),1992-2003,1992,2003,11,166,164,220,182,38,182,0,5 (5ct 0st),1.341,1.10,1.33,0.23
DPMD Jayawardene (Asia/SL),1998-2015,1998,2015,17,448,443,218,218,0,0,218,4 (4ct 0st),0.49200000000000005,0.49,0.49,0.00
R Dravid (Asia/ICC/INDIA),1996-2011,1996,2011,15,344,341,210,196,14,72,124,4 (4ct 0st),0.615,0.57,0.61,0.04
RS Kaluwitharana (SL),1990-2004,1990,2004,14,189,188,207,132,75,131,1,5 (4ct 1st),1.101,0.70,1.10,0.40
PJL Dujon (WI),1981-1991,1981,1991,10,169,168,204,183,21,183,0,4 (4ct 0st),1.214,1.08,1.21,0.12
JC Buttler (ENG),2012-2019,2012,2019,7,142,138,202,171,31,171,0,6 (6ct 0st),1.463,1.20,1.42,0.22
RD Jacobs (WI),1996-2004,1996,2004,8,147,145,189,160,29,160,0,6 (5ct 1st),1.3030000000000002,1.09,1.29,0.20
Kamran Akmal (PAK),2002-2017,2002,2017,15,157,154,188,157,31,156,1,5 (4ct 1st),1.22,1.00,1.20,0.20
D Ramdin (WI),2005-2016,2005,2016,11,139,137,188,181,7,181,0,5 (5ct 0st),1.3719999999999999,1.30,1.35,0.05
