Player,Span,Start_Year,End_Year,Career_Length,Mat,Inns,Dis,Ct,St,Ct Wk,Ct Fi,MD,D/I,Catches_Per_Match,Dismissals_Per_Match,Stumping_Rate
MS Dhoni (INDIA),2006-2019,2006,2019,13,98,97,91,57,34,57,0,5 (5ct 0st),0.938,0.58,0.93,0.35
AB de Villiers (SA),2006-2017,2006,2017,11,78,78,72,65,7,21,44,4 (4ct 0st),0.923,0.83,0.92,0.09
D Ramdin (WI),2006-2019,2006,2019,13,71,71,63,43,20,43,0,4 (4ct 0st),0.887,0.61,0.89,0.28
Kamran Akmal (PAK),2006-2017,2006,2017,11,58,58,60,28,32,28,0,4 (0ct 4st),1.034,0.48,1.03,0.55
Mushfiqur Rahim (BDESH),2006-2019,2006,2019,13,84,82,59,31,28,30,1,3 (1ct 2st),0.719,0.37,0.70,0.33
Mohammad Shahzad (AFG),2010-2018,2010,2018,8,65,65,54,26,28,26,0,5 (3ct 2st),0.83,0.40,0.83,0.43
DA Miller (SA/World),2010-2019,2010,2019,9,72,72,52,51,1,1,50,4 (4ct 0st),0.722,0.71,0.72,0.01
Umar Akmal (PAK),2009-2019,2009,2019,10,84,84,52,50,2,11,39,3 (3ct 0st),0.619,0.60,0.62,0.02
Shoaib Malik (ICC/PAK),2006-2019,2006,2019,13,111,111,50,50,0,0,50,3 (3ct 0st),0.45,0.45,0.45,0.00
Q de Kock (SA),2012-2019,2012,2019,7,38,38,46,36,10,36,0,4 (3ct 1st),1.21,0.95,1.21,0.26
MJ Guptill (NZ),2009-2019,2009,2019,10,83,82,46,46,0,0,46,3 (3ct 0st),0.56,0.55,0.55,0.00
GC Wilson (IRE),2008-2019,2008,2019,11,78,76,46,39,7,28,11,4 (3ct 1st),0.605,0.50,0.59,0.09
KC Sangakkara (SL),2006-2014,2006,2014,8,56,56,45,25,20,25,0,3 (2ct 1st),0.803,0.45,0.80,0.36
Sarfaraz Ahmed (PAK),2010-2019,2010,2019,9,58,58,45,35,10,35,0,3 (3ct 0st),0.775,0.60,0.78,0.17
BB McCullum (NZ),2005-2015,2005,2015,10,71,71,44,36,8,24,12,3 (3ct 0st),0.619,0.51,0.62,0.11
LRPL Taylor (NZ),2006-2019,2006,2019,13,95,95,44,44,0,0,44,3 (3ct 0st),0.463,0.46,0.46,0.00
DA Warner (AUS),2009-2019,2009,2019,10,76,76,43,43,0,0,43,3 (3ct 0st),0.565,0.57,0.57,0.00
SK Raina (INDIA),2006-2018,2006,2018,12,78,78,42,42,0,0,42,3 (3ct 0st),0.538,0.54,0.54,0.00
Mohammad Nabi (AFG),2010-2019,2010,2019,9,75,75,41,41,0,0,41,3 (3ct 0st),0.546,0.55,0.55,0.00
RG Sharma (INDIA),2007-2019,2007,2019,12,104,104,38,38,0,0,38,3 (3ct 0st),0.365,0.37,0.37,0.00
LD Chandimal (SL),2010-2018,2010,2018,8,54,54,37,32,5,15,17,4 (4ct 0st),0.685,0.59,0.69,0.09
V Kohli (INDIA),2010-2019,2010,2019,9,75,75,37,37,0,0,37,3 (3ct 0st),0.493,0.49,0.49,0.00
EJG Morgan (ENG),2009-2019,2009,2019,10,86,86,37,37,0,0,37,3 (3ct 0st),0.43,0.43,0.43,0.00
