Player,Span,Start_Year,End_Year,Career_Lenght,Mat,Inns,NO,Runs,HS,HS_Numeric,HS_NotOut,Ave,BF,SR,100,50,0,4s,6s, Runs_Per_Match ,Century_Rate,Fifty_Rate,Consistency_Score
V Kohli (INDIA),2010-2019,2010,2019,9,75,70,20,2633,94*,94,1,52.66,1907,138.07,0,24,2,247,71, 35.11 ,0.00,32.00,86.82
RG Sharma (INDIA),2007-2019,2007,2019,12,104,96,14,2633,118,118,0,32.1,1905,138.21,4,19,6,234,120, 25.32 ,3.85,18.27,74.54
MJ Guptill (NZ),2009-2019,2009,2019,10,83,80,7,2436,105,105,0,33.36,1810,134.58,2,15,2,215,113, 29.35 ,2.41,18.07,73.85
Shoaib Malik (ICC/PAK),2006-2019,2006,2019,13,111,104,30,2263,75,75,0,30.58,1824,124.06,0,7,1,186,61, 20.39 ,0.00,6.31,67.97
BB McCullum (NZ),2005-2015,2005,2015,10,71,70,10,2140,123,123,0,35.66,1571,136.21,2,13,3,199,91, 30.14 ,2.82,18.31,75.88
DA Warner (AUS),2009-2019,2009,2019,10,76,76,8,2079,100*,100,1,30.57,1476,140.85,1,15,5,203,86, 27.36 ,1.32,19.74,74.68
EJG Morgan (ENG),2009-2019,2009,2019,10,86,84,17,2002,91,91,0,29.88,1475,135.72,0,11,3,151,96, 23.28 ,0.00,12.79,72.22
Mohammad Shahzad (AFG),2010-2018,2010,2018,8,65,65,3,1936,118*,118,1,31.22,1436,134.81,1,12,3,218,72, 29.78 ,1.54,18.46,72.66
JP Duminy (SA),2007-2019,2007,2019,12,81,75,25,1934,96*,96,1,38.68,1532,126.24,0,11,6,138,71, 23.88 ,0.00,13.58,73.70
PR Stirling (IRE),2009-2019,2009,2019,10,72,71,6,1929,91,91,0,29.67,1401,137.68,0,16,8,233,59, 26.79 ,0.00,22.22,72.87
Mohammad Hafeez (PAK),2006-2018,2006,2018,12,89,86,8,1908,86,86,0,24.46,1643,116.12,0,10,6,196,51, 21.44 ,0.00,11.24,61.12
TM Dilshan (SL),2006-2016,2006,2016,10,80,79,12,1889,104*,104,1,28.19,1567,120.54,1,13,10,223,33, 23.61 ,1.25,16.25,65.13
AJ Finch (AUS),2011-2019,2011,2019,8,58,58,9,1878,172,172,0,38.32,1200,156.5,2,11,4,182,90, 32.38 ,3.45,18.97,85.59
LRPL Taylor (NZ),2006-2019,2006,2019,13,95,87,19,1743,63,63,0,25.63,1430,121.88,0,5,5,110,65, 18.35 ,0.00,5.26,64.13
Umar Akmal (PAK),2009-2019,2009,2019,10,84,79,14,1690,94,94,0,26,1377,122.73,0,8,10,122,55, 20.12 ,0.00,9.52,64.69
AB de Villiers (SA),2006-2017,2006,2017,11,78,75,11,1672,79*,79,1,26.12,1237,135.16,0,10,5,140,60, 21.44 ,0.00,12.82,69.74
H Masakadza (ZIM),2006-2019,2006,2019,13,66,66,2,1662,93*,93,1,25.96,1418,117.2,0,11,1,151,65, 25.18 ,0.00,16.67,62.46
AD Hales (ENG),2011-2019,2011,2019,8,60,60,7,1644,116*,116,1,31.01,1203,136.65,1,8,4,175,55, 27.40 ,1.67,13.33,73.27
CH Gayle (WI),2006-2019,2006,2019,13,58,54,4,1627,117,117,0,32.54,1139,142.84,2,13,3,138,105, 28.05 ,3.45,22.41,76.66
MS Dhoni (INDIA),2006-2019,2006,2019,13,98,85,42,1617,56,56,0,37.6,1282,126.13,0,2,1,116,52, 16.50 ,0.00,2.04,73.01
Tamim Iqbal (BDESH/ICC/World),2007-2018,2007,2018,11,75,75,5,1613,103*,103,1,23.04,1383,116.63,1,6,6,174,41, 21.51 ,1.33,8.00,60.48
MN Samuels (WI),2007-2018,2007,2018,11,67,65,10,1611,89*,89,1,29.29,1386,116.23,0,10,0,144,69, 24.04 ,0.00,14.93,64.07
